fips,County Population,Total Elderly Count,Elderly per Capita,Maskless per Capita,ICU Beds,Rate of Change,Density per square mile
01001,55869,8924,0.159730798832984,0.053,6,44.26,91.8
01003,223234,46830,0.209779872241684,0.083,51,146.77,114.6
01005,24686,4861,0.196913230170947,0.067,5,10.48,31.0
01007,22394,3733,0.166696436545503,0.02,0,20.32,36.8
01009,57826,10814,0.187009303773389,0.053,6,50.97,88.9
01011,10101,1711,0.169389169389169,0.031,0,5.1,17.5
01013,19448,4049,0.208196215549157,0.102,7,10.39,27.0
01015,113605,20547,0.180863518331059,0.152,24,93.42,195.7
01017,33254,6715,0.201930594815661,0.117,0,16.58,57.4
01019,26196,6164,0.235303099709879,0.135,0,11.71,46.9
01021,44428,7600,0.171063293418565,0.06,6,21.97,63.0
01023,12589,2969,0.235840813408531,0.049,0,1.9,15.2
01025,23622,4843,0.20502074337482,0.049,0,25.16,20.9
01027,13235,2785,0.210426898375519,0.148,4,6.87,23.1
01029,14910,3008,0.201743796109993,0.151,0,7.68,26.7
01031,52342,9031,0.172538305758282,0.101,7,35.29,73.6
01033,55241,11065,0.200304121938415,0.082,22,43.23,91.8
01035,12067,2832,0.234689649457197,0.099,0,4.42,15.6
01037,10663,2568,0.24083278627028,0.055,0,4.87,17.7
01039,37049,7920,0.21377095198251,0.187,13,21.39,36.6
01041,13772,2671,0.193944234679059,0.06,0,7.48,22.8
01043,83768,15735,0.187840225384395,0.13,12,79.19,109.4
01045,49172,8502,0.172903278288457,0.089,6,30.16,89.6
01047,37196,7021,0.188756855575868,0.095,18,14.65,44.8
01049,71513,12601,0.176205724833247,0.084,12,61.9,91.5
01051,81209,12657,0.155857109433683,0.042,5,71.74,128.2
01053,36633,6691,0.182649523653536,0.114,14,20.58,40.5
01055,102268,19796,0.193569836116869,0.096,56,111.94,195.2
01057,16302,3545,0.217457980615875,0.138,12,15.61,27.5
01059,31362,5374,0.171353867738027,0.065,7,22.45,50.0
01061,26271,5420,0.20631114156294,0.176,6,13.77,46.6
01063,8111,1890,0.233016890642338,0.03,0,7.65,14.0
01065,14651,2885,0.19691488635588,0.026,0,14.81,24.5
01067,17205,4031,0.234292356873002,0.066,0,11.55,30.8
01069,105882,19184,0.181182826164976,0.085,66,60.29,175.1
01071,51626,10591,0.20514856855073,0.092,10,54.61,49.4
01073,658573,107329,0.162972062322628,0.049,471,606.87,592.5
01075,13805,3060,0.221658819268381,0.107,0,11.45,24.1
01077,92729,19007,0.204973632844094,0.093,48,71.32,138.8
01079,32924,6287,0.190954926497388,0.162,6,22.9,49.7
01081,164542,20412,0.124053433166,0.053,28,78.97,230.8
01083,98915,15081,0.152464236971137,0.102,10,78.0,147.8
01085,9726,1921,0.197511823976969,0.12,0,4.39,15.8
01087,18068,3785,0.209486384768652,0.008,0,7.87,35.2
01089,372909,57136,0.153217004684789,0.062,100,273.35,417.7
01091,18863,3749,0.198748873455972,0.033,5,18.03,21.5
01093,29709,6389,0.215052677639772,0.129,4,20.65,41.5
01095,96774,16750,0.173083679500692,0.075,20,87.61,164.4
01097,413210,68742,0.166360930277583,0.077,157,185.65,335.9
01099,20733,4385,0.211498577147543,0.112,8,12.42,22.5
01101,226486,35281,0.155775632930954,0.056,88,114.97,292.5
01103,119679,21341,0.178318669106527,0.078,34,118.16,206.3
01105,8923,1795,0.201165527289028,0.025,0,5.68,14.7
01107,19930,3886,0.194982438534872,0.031,4,15.13,22.4
01109,33114,5031,0.151929697408951,0.06,9,13.16,48.9
01111,22722,4741,0.208652407358507,0.158,0,6.13,39.5
01113,57961,8589,0.148185849105433,0.069,8,17.0,82.6
01115,89512,15083,0.168502547144517,0.027,6,66.06,132.3
01117,217702,34724,0.159502439114018,0.022,32,157.16,248.5
01119,12427,2325,0.187092620906092,0.055,0,8.48,15.2
01121,79978,14769,0.184663282402661,0.113,14,47.23,111.7
01123,40367,8987,0.222632348205217,0.067,6,16.0,58.1
01125,209355,28789,0.137512837047121,0.041,84,164.58,147.3
01127,63521,12409,0.195352717998772,0.09,12,49.16,84.7
01129,16326,3219,0.197170158030136,0.018,0,8.13,16.3
01131,10373,2105,0.202930685433337,0.061,0,7.58,13.1
01133,23629,5167,0.218671970883237,0.13,4,19.13,39.9
02050,18386,1448,0.078755574893941,0.101,0,26.84,0.4
02070,4916,494,0.100488201790073,0.072,0,0.68,0.3
02150,12998,1476,0.113555931681797,0.042,0,19.9,2.1
02180,10004,803,0.0802678928428629,0.086,0,1.35,0.4
02230,1183,187,0.158072696534235,0.058,0,0.16,2.1
02290,5230,822,0.15717017208413,0.044,0,1.16,0.0
04001,71887,11334,0.157664111730911,0.055,0,62.77,6.4
04003,125922,29118,0.231238385667318,0.053,12,115.45,21.3
04005,143476,18662,0.130070534444785,0.039,41,114.55,7.2
04007,54018,15869,0.29377244622163,0.073,8,46.48,11.3
04009,38837,5440,0.140072611169761,0.095,0,31.81,8.1
04011,9498,1297,0.136555064224047,0.111,0,5.19,4.6
04012,21108,8392,0.397574379382225,0.031,3,18.74,4.6
04013,4485414,696331,0.155243417887401,0.023,1004,3498.74,414.9
04015,212181,65910,0.310631017857395,0.051,80,196.65,15.0
04017,110924,20829,0.187777216833147,0.091,12,97.19,10.8
04019,1047279,212554,0.202958332975263,0.023,296,926.42,106.7
04021,462789,96566,0.208660966444751,0.033,22,339.52,70.0
04023,46498,8591,0.184760634866016,0.028,0,63.65,38.3
04025,235099,76438,0.325131114977095,0.031,39,178.35,26.0
04027,213787,41302,0.193192289521814,0.008,42,290.77,35.5
05001,17486,3551,0.203076747111975,0.019,0,11.0,19.2
05003,19657,4116,0.209391056621051,0.023,6,12.97,23.6
05005,41932,13058,0.31140894782028,0.15,17,20.32,74.9
